Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
1926-07-01,-99.99,0.93,-99.99,1.22,1.25,1.56,1.95,0.75,1.52,0.92,3.72,2.26,3.65,3.95,-99.99,3.39,3.25,2.96,3.3,3.3,4.81,5.06,4.86,5.74,5.89,-99.99,5.38,5.16,5.03,5.49,8.64,8.47,8.25,-99.99,8.39,7.76,8.5,8.51,8.34,8.59,12.98,11.07,11.86,11.73,13.41,11.81,12.1,12.13,11.01,11.23,16.77,16.46,17.38,16.65,14.2,17.49,17.05,15.49,14.46,14.69,28.31,24.69,26.33,26.39,27.52,25.66,28.53,27.63,24.99,31.05,48.42,47.84,40.93,45.65,45.6,50.73,49.97,43.52,40.64,41.77,90.53,93.03,90.63,106.13,78.05,79.58,94.5,92.8,87.63,-99.99,284.38,344.56,388.8,433.77,342.23,335.52,297.42,162.59,180.73,-99.99
1926-08-01,-99.99,1.05,-99.99,0.97,1.17,1.49,1.85,0.87,1.49,0.89,3.94,2.21,3.04,4.33,-99.99,3.49,3.13,2.86,3.19,3.78,4.81,5.2,5.07,5.72,5.84,-99.99,5.28,4.9,4.8,5.47,8.61,8.58,8.63,-99.99,8.34,8.02,8.39,8.15,8.3,9.04,13.79,10.53,11.98,12.0,12.68,12.86,12.16,12.27,11.11,10.79,17.16,17.14,17.56,17.88,14.55,16.84,16.92,17.12,14.35,14.31,28.73,24.65,26.12,26.59,28.66,27.22,28.71,27.35,25.9,33.12,49.35,48.38,41.3,47.1,45.27,50.6,49.62,44.09,43.15,38.81,98.63,94.41,92.42,107.74,78.64,80.51,99.99,93.98,87.85,-99.99,293.28,348.11,461.72,439.19,348.89,343.04,303.94,167.22,182.28,-99.99
1926-09-01,-99.99,1.08,-99.99,1.05,1.25,1.44,1.75,0.85,1.41,0.98,3.79,2.35,2.96,3.82,-99.99,3.55,3.15,2.98,3.35,4.42,5.25,4.96,4.93,5.51,6.1,-99.99,5.15,4.93,5.1,5.4,8.8,9.07,8.76,-99.99,8.4,8.64,8.07,8.6,9.74,9.7,13.79,10.46,12.02,12.32,13.13,13.15,12.61,12.67,11.86,9.9,17.0,16.81,18.46,17.84,15.12,16.88,17.64,17.88,16.72,14.92,28.96,24.79,27.51,26.82,29.31,26.65,27.38,28.81,27.53,35.5,49.65,49.18,42.84,48.41,45.64,52.62,50.34,47.28,47.43,36.28,98.01,92.36,94.64,107.68,81.13,80.63,102.78,96.79,91.51,-99.99,293.23,359.53,499.02,452.41,350.86,351.92,322.14,172.63,202.74,-99.99
1926-10-01,-99.99,0.88,-99.99,1.01,1.17,1.41,1.67,0.76,1.42,1.06,3.67,2.29,2.39,4.02,-99.99,3.38,2.96,3.01,3.26,4.41,5.25,4.51,4.82,5.52,6.09,-99.99,5.26,4.88,4.7,5.33,8.94,8.56,8.31,-99.99,8.41,8.85,7.7,8.05,11.09,9.83,13.43,9.67,11.77,12.4,12.81,12.99,12.58,13.57,10.78,9.82,17.25,16.66,18.42,18.17,14.69,16.36,18.35,17.7,16.72,14.36,27.68,22.49,26.61,27.34,28.17,25.96,27.87,29.32,26.73,34.47,53.18,49.98,41.91,48.25,44.58,51.4,50.92,46.65,50.03,39.94,96.47,87.75,94.34,106.99,80.93,81.09,99.57,96.89,87.91,-99.99,290.67,351.58,551.67,450.64,346.49,354.24,320.04,171.13,197.47,-99.99
1926-11-01,-99.99,0.84,-99.99,0.89,1.11,1.16,1.73,0.69,1.28,1.04,3.21,2.35,2.36,3.86,-99.99,3.41,2.83,3.46,3.07,4.52,4.81,4.18,5.06,5.4,6.16,-99.99,4.95,4.19,4.62,5.01,8.91,8.4,7.67,-99.99,8.13,7.62,6.9,7.61,12.82,9.29,13.08,9.13,11.31,11.85,12.5,12.76,12.14,12.98,10.25,13.12,16.51,15.15,18.05,18.15,15.03,16.49,17.68,17.74,15.48,13.92,27.63,21.92,25.68,27.31,27.42,25.55,26.87,28.06,24.14,31.15,49.7,48.33,41.58,46.34,43.74,49.89,49.61,45.2,48.08,43.17,94.18,84.85,91.89,103.01,74.91,79.02,96.79,91.91,80.93,-99.99,277.81,348.37,514.13,447.49,341.04,346.1,300.95,166.83,189.72,-99.99
1926-12-01,-99.99,0.77,-99.99,1.2,1.12,1.16,1.64,0.67,1.26,1.01,3.49,2.33,2.03,4.22,-99.99,3.5,2.59,3.4,3.21,4.45,5.25,3.72,4.99,4.94,6.32,-99.99,4.53,4.92,4.68,4.99,9.63,8.81,7.95,-99.99,8.39,8.39,7.46,7.85,12.3,10.2,13.93,9.33,11.67,12.75,12.85,12.52,13.29,13.3,10.52,10.95,16.74,15.09,18.61,18.81,15.51,16.32,18.63,18.21,16.63,14.44,26.96,22.18,25.73,28.48,28.35,25.95,29.35,31.51,24.2,31.67,51.08,51.04,42.41,47.32,45.89,51.26,49.93,45.48,50.59,42.89,98.54,88.43,93.9,108.93,76.16,85.5,100.11,94.83,82.34,-99.99,296.22,344.55,505.36,460.55,341.8,347.4,310.62,170.78,195.92,-99.99
1927-01-01,-99.99,0.82,-99.99,1.16,1.15,1.19,1.6,0.67,1.25,1.04,4.11,2.38,2.21,4.0,-99.99,3.39,2.58,3.63,3.13,4.74,6.12,3.75,4.66,5.34,6.49,-99.99,4.56,5.22,4.88,5.34,9.58,9.11,8.17,-99.99,8.23,8.72,7.51,7.96,12.53,10.88,14.34,9.07,11.74,13.0,13.21,12.26,13.44,13.49,10.65,12.07,15.86,14.3,18.41,20.45,15.01,15.93,19.19,18.8,16.79,14.57,27.84,23.49,25.98,28.17,26.81,25.94,29.76,30.48,23.57,31.77,52.56,51.67,42.93,48.71,46.03,53.51,51.61,47.88,51.24,45.0,100.04,89.72,94.66,109.19,78.28,88.59,106.05,96.78,86.05,-99.99,296.53,350.38,542.4,461.38,341.1,355.04,333.15,172.03,194.06,-99.99
1927-02-01,-99.99,0.99,-99.99,1.01,1.07,1.05,1.82,0.82,1.15,1.15,4.08,2.38,1.81,3.84,-99.99,3.29,2.53,3.82,3.24,4.8,5.25,3.65,4.77,4.85,6.5,-99.99,4.39,5.35,4.92,6.38,9.79,9.84,8.02,-99.99,8.26,8.48,7.55,7.86,14.59,12.36,14.01,8.5,11.44,13.02,13.08,12.26,13.85,13.19,10.74,11.27,16.37,13.87,18.25,21.33,14.76,15.8,19.39,19.72,17.65,14.79,29.9,23.42,26.49,29.4,27.39,25.14,29.39,30.51,24.92,34.78,54.4,51.96,43.63,48.8,45.77,52.87,51.33,48.87,55.71,48.37,101.27,87.0,94.66,107.63,78.64,95.85,106.13,99.83,88.81,-99.99,290.19,351.4,537.63,466.09,331.83,356.46,329.84,177.47,203.98,-99.99
1927-03-01,-99.99,1.1,-99.99,1.16,1.03,1.17,1.74,0.83,1.24,1.26,4.13,2.54,1.61,3.9,-99.99,3.57,2.52,4.26,3.46,5.48,5.25,3.73,4.83,5.43,7.44,-99.99,4.54,5.19,5.03,6.64,10.06,9.84,8.69,-99.99,8.79,8.51,7.85,8.28,16.99,13.63,14.85,8.61,12.11,13.6,14.21,12.77,14.86,13.47,11.54,11.11,17.34,15.35,18.93,23.4,14.91,16.36,19.29,22.42,20.33,17.26,31.0,25.05,28.26,30.88,28.52,25.32,32.31,30.75,27.28,42.85,58.86,53.37,44.26,50.33,46.09,54.59,54.28,52.62,60.92,52.03,105.24,92.87,99.4,109.73,79.39,97.47,119.97,110.59,93.03,-99.99,301.32,351.47,582.65,480.86,343.69,365.45,338.78,181.95,219.48,-99.99
1927-04-01,-99.99,1.27,-99.99,1.71,0.95,0.96,1.57,0.85,1.02,1.22,4.39,2.4,1.75,3.6,-99.99,3.48,2.35,4.1,3.47,5.27,4.38,3.56,4.18,5.63,7.37,-99.99,4.11,4.69,5.25,6.56,9.45,9.92,8.52,-99.99,8.63,7.98,8.22,8.04,14.8,13.9,16.0,8.23,11.51,13.21,12.97,12.26,15.31,12.72,10.48,10.87,16.96,15.47,18.39,21.37,14.62,16.58,19.02,21.61,18.83,16.7,32.97,22.91,28.24,32.81,29.92,25.02,31.56,29.72,26.66,46.16,55.21,52.94,43.61,49.3,44.18,53.8,54.01,50.7,66.22,55.27,106.01,91.29,99.16,101.97,79.07,100.6,113.63,104.43,86.95,-99.99,302.16,350.96,611.07,485.65,334.22,368.89,348.87,177.27,212.97,-99.99
