Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
1926-07-01,-99.99,11.3757,-99.99,-20.6349,-7.4713,-1.5895,-4.9223,12.9877,-2.0889,-4.2795,6.4065,-2.1277,-15.5614,9.0796,-99.99,4.1353,-3.1539,-3.4753,-3.3215,10.495,0.0,3.3874,4.3347,-0.6767,-1.0397,-99.99,-2.2086,-3.5258,-4.4991,-0.5995,-0.5444,2.1134,4.3201,-99.99,-0.3721,2.024,-0.691,-3.9624,1.2343,5.8486,7.1965,-4.7559,1.2046,2.3887,-5.4229,9.9161,1.0451,2.2005,1.0997,-3.9427,2.6213,4.1702,1.3654,7.8995,2.4843,-3.0472,-0.1394,11.2834,-0.8262,-2.9357,0.0463,0.0608,0.1651,0.7547,3.2535,6.5013,1.2673,-0.8728,3.1839,6.6667,3.121,1.2006,1.0058,3.5246,-0.021,0.2135,-0.1253,1.829,6.1785,-7.0707,9.66,1.0727,2.3681,1.3622,0.513,0.9806,6.1178,1.8968,1.6063,-99.99,3.2899,1.7918,13.8649,2.2086,2.0819,2.2835,3.4956,4.0253,0.8576,-99.99
1926-08-01,-99.99,3.9643,-99.99,8.0,7.925,-4.2104,-3.0383,2.9822,-6.225,8.4143,-3.9949,6.5217,-2.6844,-11.0131,-99.99,1.6171,0.9073,7.797,4.0603,13.6394,9.0909,-4.6875,-2.6902,-3.2001,5.6507,-99.99,-1.924,1.1671,5.7815,-1.2033,2.9173,5.939,1.3281,-99.99,1.0064,7.2541,-4.3957,6.1414,16.9628,7.1935,0.0,-0.4616,0.1791,2.9417,4.3766,2.6199,3.9452,3.1064,6.7622,-8.209,-0.6907,-1.9854,5.2631,-0.1894,4.7702,0.6901,4.4035,4.5328,17.8334,4.8695,1.4441,0.7015,5.8466,1.4227,1.0791,-1.9769,-3.6588,5.5544,7.4326,7.1875,0.2638,1.1479,4.5344,3.656,0.9686,4.4574,1.6926,6.8513,9.9138,-6.5217,0.2234,-2.3701,3.3836,0.7857,3.2732,0.467,3.3903,1.8335,4.0275,-99.99,0.6012,2.3499,6.2771,2.768,2.9387,2.9415,6.9075,2.905,11.2245,-99.99
1926-09-01,-99.99,-19.3658,-99.99,-3.7037,-5.998,-2.1865,-4.0,-15.3858,2.9742,10.4924,-4.4109,-2.551,-17.3679,5.2632,-99.99,-4.3348,-4.2909,3.1592,-1.4259,-1.387,0.0,-8.013,-0.9804,0.3102,0.6538,-99.99,1.8436,-0.522,-7.3194,-1.0184,3.0382,-4.9948,-4.0458,-99.99,0.637,3.2791,-4.2905,-5.8975,15.4704,1.4779,-2.4695,-4.6341,-0.8129,1.0675,-1.5041,-0.0043,-0.0325,7.478,-8.4488,-0.813,2.5876,0.0055,-0.1462,1.3169,-1.7678,-3.0182,3.6807,-1.7874,0.3233,-3.8563,-3.1678,-6.9991,-2.1538,2.9499,-1.2924,-1.3184,2.642,4.0672,-3.7748,-2.9155,7.1338,1.6318,-1.8373,0.3747,-1.1291,-2.1252,1.9636,-0.3407,5.4902,10.0775,-0.4404,-5.3218,0.204,0.2713,-0.1249,2.1693,-3.0335,0.0202,-3.4141,-99.99,-0.233,-0.4532,7.0188,0.0455,-0.719,0.8681,-0.4491,-0.8531,-1.0703,-99.99
1926-10-01,-99.99,-4.9361,-99.99,-11.5385,-6.34,-17.3301,3.9583,-4.4654,-8.3574,-3.4628,-13.3958,5.1309,-1.3214,-3.7619,-99.99,1.018,-4.9294,17.134,-6.685,4.3697,-8.3333,-8.1751,5.2308,-1.4316,1.3174,-99.99,-5.7153,-12.4822,-1.2888,-6.0724,-0.5663,-3.354,-7.1448,-99.99,-3.1524,-14.9564,-9.4444,-5.319,15.1738,-5.3859,-1.7158,-5.6027,-3.8303,-3.5161,-2.3605,-1.6557,-3.5627,-4.6381,-4.6234,33.6066,-4.1504,-9.1371,-1.5756,1.0809,2.395,1.668,-2.7765,-1.3096,-7.6391,-2.6779,-1.2535,-2.1647,-3.2406,-0.2832,-1.1949,-1.5907,-3.702,-4.4314,-9.2168,-9.6096,-6.3646,-2.3819,-0.829,-4.0332,-1.6623,-2.8365,-2.3725,-2.647,-3.9033,8.0986,-2.0172,-3.9757,-1.6957,-3.4122,-6.7362,-2.3457,-2.3047,-5.2901,-7.9405,-99.99,-3.9408,-0.2266,-5.2125,-1.5241,-2.6491,-2.6579,-4.4929,-1.9998,-3.9246,-99.99
1926-11-01,-99.99,-10.4167,-99.99,34.7826,0.671,-0.2585,-4.6552,-2.4052,-2.6128,3.6632,6.7153,-1.0204,-13.9225,8.5888,-99.99,3.3418,-7.1741,-1.2525,4.943,1.1254,9.0909,-12.3488,-1.5152,-7.9427,3.157,-99.99,-7.3006,18.9704,1.1981,-1.4161,5.1599,5.0334,3.7963,-99.99,3.719,0.3423,8.7906,3.8262,-1.7641,8.9464,6.7319,1.5166,2.5933,7.1873,3.6337,-1.8792,10.3218,2.1416,2.4841,-16.5644,1.2468,-2.1629,3.8158,3.7315,4.8304,-1.8736,6.1823,4.2913,8.5942,4.2102,-1.2379,1.5444,0.9358,5.6072,3.9105,1.2262,11.154,12.9588,1.4132,1.6611,3.6517,5.5341,2.2401,2.884,4.7414,3.4356,1.4539,0.9456,5.2224,-0.6515,5.1332,4.7374,1.7141,6.1219,1.9122,8.4433,3.1609,2.4917,1.8804,-99.99,5.3134,0.8623,1.9037,3.7943,3.7148,1.1951,2.3656,2.1261,3.268,-99.99
1926-12-01,-99.99,5.1515,-99.99,-3.2258,4.4195,4.162,-3.0418,-3.7895,-0.4353,-3.9845,19.5248,2.0619,10.6275,-3.5715,-99.99,-1.8987,1.91,6.9778,-1.1519,6.7385,16.6667,3.52,-5.9152,8.5654,2.9828,-99.99,0.7392,5.7317,5.0205,8.4882,0.9898,3.8486,3.6632,-99.99,-0.8051,4.0381,2.7574,1.8345,1.8625,5.4115,2.2751,1.0691,1.1523,3.2537,3.7563,-0.9205,1.5463,2.2713,0.4897,10.2941,-2.9873,-1.3001,0.2605,8.4078,-2.2019,-2.2881,2.9883,5.4951,1.1161,0.7898,3.5137,6.5768,2.0356,0.4553,-3.4294,1.3014,2.2689,-2.43,-2.3584,0.3268,4.0462,1.9815,1.8261,4.1344,1.5741,5.0621,3.9898,5.8965,1.2868,4.918,3.173,2.4135,1.2052,1.0903,3.5749,4.436,6.2203,3.2584,4.7981,-99.99,3.3381,2.4683,6.3306,1.5987,0.3793,2.0613,6.0476,2.3757,0.6329,-99.99
1927-01-01,-99.99,14.2857,-99.99,-13.3333,-7.3432,-12.4619,13.4245,1.6131,-9.8235,8.7396,0.0765,0.0,-16.7375,-3.5078,-99.99,-2.2521,-2.4493,3.4818,2.6851,2.3897,-14.2857,-5.238,2.611,-8.4111,-0.3683,-99.99,-3.4008,0.8298,1.2688,14.8664,1.3841,8.4319,-2.4642,-99.99,0.8738,-3.9176,1.216,-1.1579,15.1711,17.857,-0.7204,-6.3058,-2.7529,0.4175,-0.9728,-0.3005,3.9724,-1.2616,1.3326,-6.6667,3.34,-4.7057,-1.0538,6.1327,-1.7781,-0.0956,2.058,5.1467,6.19,2.7107,5.0796,0.3977,2.2659,4.6632,2.9955,-2.4596,-0.9784,0.0481,5.1746,9.4463,4.2957,1.3384,1.5046,0.1466,-0.5286,-0.526,-0.4171,2.4518,8.7114,7.5,1.431,-3.001,0.15,-1.3746,0.9172,5.6992,0.5143,4.8979,3.0744,-99.99,-2.4525,0.1189,-0.5693,0.7932,-3.2459,1.2674,0.0258,3.3184,5.1118,-99.99
1927-02-01,-99.99,9.7788,-99.99,15.3846,-5.0654,13.6774,-5.6097,2.4915,13.0589,9.6573,-0.0282,7.0707,-10.5547,0.0844,-99.99,7.2532,0.7133,10.5065,9.1804,15.891,0.0,1.3277,1.6129,13.0907,13.7848,-99.99,5.9783,-2.453,2.274,2.5469,3.1175,0.3041,9.5372,-99.99,6.7331,1.7975,5.7259,5.8511,16.1848,9.9304,5.4784,1.5572,6.85,4.4634,9.3651,4.0921,7.876,4.1113,7.2553,-1.4286,5.3569,13.3938,4.0073,8.6924,2.1333,3.65,0.3171,14.5511,15.3245,17.388,5.3388,5.282,6.8586,5.4706,4.283,1.3203,10.2568,0.6366,11.4321,23.2143,9.0064,3.539,1.5596,3.8076,0.289,4.1984,6.1955,8.2402,9.3489,7.5581,4.2841,7.8198,4.238,2.38,1.5862,2.1084,12.8418,12.0762,5.3383,-99.99,4.0537,1.4447,5.799,2.8602,5.324,3.0232,3.6711,2.2821,7.5988,-99.99
1927-03-01,-99.99,10.1504,-99.99,46.6667,-7.7549,-18.0092,-8.0716,-0.2375,-20.6257,-4.7712,5.6013,-5.6604,9.7833,-7.2903,-99.99,-3.3437,-3.9624,-0.6673,0.698,-0.7175,-16.6667,-5.2157,-15.1442,5.8176,-2.7325,-99.99,-9.4444,-11.53,4.0821,-4.2194,-2.8959,-0.3627,-1.9303,-99.99,-0.847,-11.1709,4.4009,-2.2402,-10.5487,-0.4372,7.9295,-3.66,-4.2537,-1.0622,-7.8704,-1.9374,3.0813,-5.353,-7.7206,-2.1739,-1.8809,-1.0374,-2.5879,-7.6564,-0.7646,1.5411,-1.0335,-2.7276,-7.4016,-3.3055,6.1787,-6.6998,0.2598,6.5859,4.8424,0.6516,-2.3744,-2.682,-3.0417,7.7295,-5.4306,-0.8581,-1.3633,-2.215,-3.1204,-2.4694,1.006,-2.5903,10.229,6.2162,1.2836,-1.7541,-0.5074,-5.2317,-0.2243,4.266,-4.4419,-5.953,-6.3677,-99.99,0.2367,2.3057,0.6086,0.0612,-1.472,1.6131,1.3143,-2.8057,-1.5537,-99.99
1927-04-01,-99.99,5.625,-99.99,1.1364,-2.3182,-8.4553,-4.4563,6.9074,25.0114,1.388,9.5649,7.4,-1.5549,10.8624,-99.99,8.6232,5.2978,1.4702,1.6144,10.5481,5.0,-3.6036,-1.049,-3.2939,-2.6177,-99.99,-1.533,1.3848,-0.1885,0.1739,-5.757,-5.1482,-11.1676,-99.99,-1.262,1.2174,1.2127,0.3279,12.9395,2.0245,1.9431,0.2605,-2.5784,1.2625,-0.804,-5.3273,6.6608,0.605,4.334,0.0,-5.0218,0.8624,5.401,3.2523,-0.9843,0.304,-0.7524,1.333,8.8866,-6.8267,-1.6915,-6.4399,1.5309,2.0882,4.3169,-2.7478,5.0115,-0.5316,5.4251,-4.0359,-0.7493,2.6403,5.4739,-0.4944,-1.8896,-3.2947,0.0267,-3.8276,11.5169,5.0891,2.1951,1.1022,1.4239,-4.0124,1.0564,-1.3947,-3.5813,-4.3045,-5.9254,-99.99,2.714,0.936,3.2795,-0.7051,-1.0686,1.0985,0.9145,-0.4388,-1.4556,-99.99
