DATE,CRSPTM1,CRSPME1,CRSPLC1,CRSPMI1,CRSPSC1,CRSPMC1,CRSPSX1,CRSPTMT,CRSPMET,CRSPLCT,CRSPMIT,CRSPSCT,CRSPMCT,CRSPSXT,CRSPSM1,CRSPSMT,CAP_RESTATEMENT,CRSPRE1,CRSPEN1,CRSPMT1,CRSPID1,CRSPCS1,CRSPHC1,CRSPTE1,CRSPUT1,CRSPFN1,CRSPIT1,CRSPRET,CRSPENT,CRSPMTT,CRSPIDT,CRSPCST,CRSPHCT,CRSPTET,CRSPUTT,CRSPFNT,CRSPITT,SECTOR_RESTATEMENT,CRSPMEV1,CRSPMEG1,CRSPLCV1,CRSPLCG1,CRSPMIV1,CRSPMIG1,CRSPSCV1,CRSPSCG1,CRSPMEVT,CRSPMEGT,CRSPLCVT,CRSPLCGT,CRSPMIVT,CRSPMIGT,CRSPSCVT,CRSPSCGT,CRSPSMG1,CRSPSMGT,CRSPSMV1,CRSPSMVT,VG_RESTATEMENT
2011-03-31,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,1005.08,1004.82,1005.09,1006.36,1005.21,1003.21,,1005.09,1004.82,1005.10,1006.40,1005.24,1003.22,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-04,1005.69,1005.19,1005.49,1006.86,1007.11,1005.54,,1005.80,1005.33,1005.61,1006.90,1007.19,1005.57,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-05,1006.30,1004.61,1005.28,1008.38,1013.25,1007.56,,1006.42,1004.75,1005.40,1008.43,1013.35,1007.60,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-06,1007.96,1006.80,1006.92,1007.47,1014.47,1013.09,,1008.42,1007.41,1007.45,1007.61,1014.59,1013.16,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-07,1005.71,1005.33,1005.16,1004.39,1009.29,1007.71,,1006.23,1005.98,1005.73,1004.56,1009.50,1007.82,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-08,1000.89,1001.69,1000.97,997.63,1000.79,997.45,,1001.40,1002.34,1001.54,997.81,1001.00,997.56,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-11,997.08,998.86,997.86,993.24,992.95,987.41,,997.61,999.53,998.44,993.42,993.18,987.52,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-12,988.51,990.89,989.81,984.83,981.53,973.15,,989.04,991.56,990.40,985.01,981.76,973.26,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-13,989.28,990.85,990.45,988.59,983.68,970.82,,989.92,991.64,991.13,988.79,984.04,971.02,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
