 N  K  bf_time  bf_corr_f_mean  bf_corr_h_mean  bf_rmse_f_mean  bf_rmse_h_mean  num_particles   pf_time  pf_corr_f_mean  pf_corr_h_mean  pf_rmse_f_mean  pf_rmse_h_mean
 5  2 1.399801        0.930121   -6.184658e-18        0.457896        0.146866            NaN       NaN             NaN             NaN             NaN             NaN
 5  3 1.336681        0.873942   -1.386653e-02        0.397090        0.203129            NaN       NaN             NaN             NaN             NaN             NaN
 5  5 1.381557        0.851247   -9.109047e-03        0.565062        0.422808            NaN       NaN             NaN             NaN             NaN             NaN
10  2 1.221551        0.962795    1.204967e-01        0.332121        0.288184            NaN       NaN             NaN             NaN             NaN             NaN
10  3 1.181529        0.943844    2.423685e-02        0.342607        0.246905            NaN       NaN             NaN             NaN             NaN             NaN
10  5 1.189986        0.944996    7.141699e-02        0.351688        0.308088            NaN       NaN             NaN             NaN             NaN             NaN
10 10 1.321691        0.925610    1.959718e-01        0.443769        0.421197            NaN       NaN             NaN             NaN             NaN             NaN
50  2 1.265313        0.980810    1.041159e-15        0.324274        0.099036            NaN       NaN             NaN             NaN             NaN             NaN
50  3 1.292473        0.970083   -4.902603e-02        0.313981        0.165634            NaN       NaN             NaN             NaN             NaN             NaN
50  5 1.410975        0.973597    1.143247e-01        0.299387        0.289126            NaN       NaN             NaN             NaN             NaN             NaN
50 10 1.310565        0.971496    2.944951e-01        0.318046        0.466625            NaN       NaN             NaN             NaN             NaN             NaN
 5  2      NaN             NaN             NaN             NaN             NaN         1000.0  0.545273        0.896949        0.191809        0.319773        0.173257
 5  2      NaN             NaN             NaN             NaN             NaN        10000.0  2.441972        0.930722        0.183813        0.253728        0.117732
 5  3      NaN             NaN             NaN             NaN             NaN         1000.0  0.560552        0.921594        0.221440        0.359590        0.254409
 5  3      NaN             NaN             NaN             NaN             NaN        10000.0  3.028573        0.937918        0.060678        0.311236        0.151462
 5  5      NaN             NaN             NaN             NaN             NaN         1000.0  0.682448        0.839562        0.255387        0.494505        0.503298
 5  5      NaN             NaN             NaN             NaN             NaN        10000.0  4.502329        0.912160        0.370397        0.393509        0.369973
10  2      NaN             NaN             NaN             NaN             NaN         1000.0  0.544516        0.973785        0.009820        0.183071        0.101335
10  2      NaN             NaN             NaN             NaN             NaN        10000.0  2.527062        0.945237        0.091734        0.173152        0.118415
10  3      NaN             NaN             NaN             NaN             NaN         1000.0  0.599043        0.970526        0.101191        0.236131        0.174501
10  3      NaN             NaN             NaN             NaN             NaN        10000.0  3.117190        0.961862        0.052468        0.215430        0.149361
10  5      NaN             NaN             NaN             NaN             NaN         1000.0  0.722857        0.888728        0.082164        0.321575        0.293305
10  5      NaN             NaN             NaN             NaN             NaN        10000.0  4.507175        0.965838        0.273918        0.269831        0.323502
10 10      NaN             NaN             NaN             NaN             NaN         1000.0  1.061100        0.812261        0.011478        0.645178        0.637685
10 10      NaN             NaN             NaN             NaN             NaN        10000.0 11.028655        0.840950        0.109152        0.539056        0.677419
50  2      NaN             NaN             NaN             NaN             NaN         1000.0  0.675909        0.994280        0.118251        0.086921        0.195718
50  2      NaN             NaN             NaN             NaN             NaN        10000.0  7.839570        0.996531        0.124950        0.080022        0.109142
50  3      NaN             NaN             NaN             NaN             NaN         1000.0  0.779955        0.989197        0.091667        0.123742        0.290646
50  3      NaN             NaN             NaN             NaN             NaN        10000.0 10.023661        0.993408        0.069821        0.087119        0.118030
50  5      NaN             NaN             NaN             NaN             NaN         1000.0  0.956753        0.972709        0.071797        0.237803        0.315263
50  5      NaN             NaN             NaN             NaN             NaN        10000.0 12.469411        0.983209        0.152542        0.162978        0.514138
50 10      NaN             NaN             NaN             NaN             NaN         1000.0  1.314532        0.859588        0.077477        0.457550        0.672407
50 10      NaN             NaN             NaN             NaN             NaN        10000.0 20.919967        0.917825        0.071760        0.381853        0.699557
