N,K,T,num_particles,seed,bf_time,pf_time,bf_rmse_f,bf_corr_f,bf_rmse_h,bf_corr_h,pf_rmse_f,pf_corr_f,pf_rmse_h,pf_corr_h,error,bf_rmse_f_mean,bf_rmse_h_mean,bf_corr_f_mean,bf_corr_h_mean,pf_rmse_f_mean,pf_rmse_h_mean,pf_corr_f_mean,pf_corr_h_mean
5,2,1000,,5200,0.6504602432250977,,[0.47707086 0.61443548],[0.94311204 0.88114631],[0.09325253 0.12443127],[ 3.68480963e-16 -4.39254685e-16],,,,,,0.545753166426182,0.10884189921608114,0.9121291719305565,-3.538686115986911e-17,,,,
5,2,1000,,5201,0.5077857971191406,,[0.39551383 0.40863758],[0.95802971 0.89678362],[0.15845739 0.08927448],[ 6.83842425e-16 -2.71144578e-16],,,,,,0.4020757061805752,0.1238659347340353,0.9274066650237361,2.0634892363028537e-16,,,,
5,2,1000,,5202,0.466367244720459,,[0.38785858 0.46385911],[0.93809231 0.96356005],[0.1926684 0.2231097],[-3.80027334e-16  9.95262793e-19],,,,,,0.4258588443470184,0.20788904745780631,0.9508261802839492,-1.895160357175566e-16,,,,
5,2,1000,1000.0,6200,,0.9186656475067139,,,,,[0.79954134 0.53116943],[0.83754014 0.3029242 ],[0.45873892 0.2416307 ],[0.11121595 0.10232044],,,,,,0.6653553871423545,0.3501848065778428,0.5702321672144057,0.10676819706966319
5,2,1000,1000.0,6201,,0.6505947113037109,,,,,[0.77937631 0.55092542],[0.30720723 0.65205947],[0.24931809 0.19988669],[0.06545748 0.06487638],,,,,,0.6651508644618971,0.22460238640211727,0.4796333475860385,0.06516692724850551
5,2,1000,1000.0,6202,,0.6673340797424316,,,,,[0.76433693 0.47836353],[0.63186062 0.78768148],[0.10823599 0.12455895],[-0.00806319  0.03613669],,,,,,0.6213502323661512,0.11639747117624626,0.7097710474260859,0.014036746325649118
5,2,1000,10000.0,15200,,2.3055222034454346,,,,,[0.4405954 0.4367233],[0.85562504 0.80922313],[0.24827922 0.40255909],[0.04874623 0.06222103],,,,,,0.4386593509412655,0.32541915659670617,0.8324240878163338,0.05548363194016603
5,2,1000,10000.0,15201,,2.236267328262329,,,,,[0.52026296 0.5249181 ],[0.71957901 0.5401165 ],[0.10159965 0.05284224],[-0.03526145  0.00211574],,,,,,0.5225905275078652,0.07722094897571292,0.6298477575611663,-0.01657285378672721
5,2,1000,10000.0,15202,,2.102198362350464,,,,,[0.49191338 0.51908107],[0.63898031 0.79863068],[0.13374071 0.07457676],[ 0.00079428 -0.0092163 ],,,,,,0.5054972280239647,0.10415873101019431,0.7188054915102166,-0.004211008038393848
5,3,1000,,5300,0.6458733081817627,,[0.37445704 0.37828183 0.52850301],[0.88782437 0.88981911 0.7122855 ],[0.25601729 0.11961871 0.36075112],[-0.08639019  0.02303373 -0.07907745],,,,,,0.4270806271319405,0.24546237397068701,0.829976325058624,-0.04747797121017624,,,,
5,3,1000,,5301,0.5257539749145508,,[0.4775641  0.46680865 0.38710793],[0.80010694 0.91374747 0.88698163],[0.11237881 0.21556274 0.29500939],[-0.00589385  0.00202435  0.0215046 ],,,,,,0.44382689202435727,0.20765031414570786,0.8669453473078345,0.005878366316005135,,,,
5,3,1000,,5302,0.5117340087890625,,[0.23960041 0.33876726 0.38271738],[0.97059811 0.88281855 0.92129407],[0.16132187 0.13173935 0.17575915],[8.61801334e-16 7.70313354e-16 3.24723140e-16],,,,,,0.3203616850228081,0.1562734560213709,0.9249035766721025,6.522792758905641e-16,,,,
5,3,1000,1000.0,6300,,1.112023115158081,,,,,[0.6506507  0.61979145 0.93805423],[0.82946217 0.72210066 0.56546021],[0.481162   0.51982546 0.48689485],[0.04292487 0.07613811 0.08138874],,,,,,0.7361654606455635,0.4959607704972034,0.7056743472652013,0.06681723876464463
5,3,1000,1000.0,6301,,0.8470742702484131,,,,,[0.65042916 0.66790912 0.58303138],[0.84746004 0.68244614 0.78612107],[0.25532077 0.23317654 0.3217953 ],[-0.01889878  0.02842594 -0.02094286],,,,,,0.6337898869253276,0.2700975365945856,0.7720090823645519,-0.0038052350464585854
5,3,1000,1000.0,6302,,0.8904683589935303,,,,,[0.67972539 1.01081069 0.65126071],[0.81343158 0.36602184 0.5824415 ],[0.22876461 0.39275346 0.17958106],[-0.00300547  0.05772467  0.06610373],,,,,,0.7805989281781783,0.26703304262942507,0.5872983045427941,0.040274307897040645
5,3,1000,10000.0,15300,,3.512925863265991,,,,,[0.60766676 0.95383814 0.45925031],[0.77985185 0.72488134 0.784688  ],[0.21598977 0.32652328 0.28033803],[ 0.01859182  0.02995577 -0.03154983],,,,,,0.6735850693978782,0.27428369782733886,0.7631403962035331,0.005665923770833396
5,3,1000,10000.0,15301,,3.1323060989379883,,,,,[0.5104448  0.6467032  0.69589598],[0.84315208 0.62395215 0.80043203],[0.26564259 0.19621413 0.21259553],[-0.05194176 -0.05562264 -0.0660229 ],,,,,,0.6176813285174988,0.22481741681428233,0.7558454201281295,-0.05786243168060759
5,3,1000,10000.0,15302,,3.0966763496398926,,,,,[0.42395985 0.66752439 0.45602079],[0.92790387 0.46661733 0.94717083],[0.13766418 0.11961255 0.10235881],[-0.04658913 -0.07051847 -0.02203054],,,,,,0.5158350109162503,0.1198785137098219,0.7805640078094888,-0.04637938317233156
5,5,1000,,5500,0.546044111251831,,[0.47710653 0.82515364 0.74968996 0.45708719 0.31524766],[0.91906568 0.82543282 0.85526358 0.97467303 0.97865229],[0.86509985 1.19128132 0.77965327 0.5215909  0.34524365],[-0.10728956 -0.19664427 -0.11921322 -0.17935796 -0.11314585],,,,,,0.5648569971729079,0.740573797523443,0.9106174794238926,-0.1431301705902278,,,,
5,5,1000,,5501,0.6342401504516602,,[0.28995447 0.56896979 0.51584532 0.4061203  0.66727975],[0.92253461 0.7255531  0.96346648 0.78517576 0.89104236],[0.18584672 0.28950898 0.36396347 0.41072702 0.20484795],[0.05894571 0.05047493 0.03464416 0.01964933 0.01612856],,,,,,0.48963392429762986,0.29097882743552095,0.8575544636486612,0.03596853969819782,,,,
5,5,1000,,5502,0.4687972068786621,,[0.74219863 0.65111863 0.67247075 0.55165855 0.58602171],[0.82616455 0.80820283 0.50193673 0.91471998 0.87682855],[0.27489363 0.13249721 0.24758922 0.3607851  0.16859888],[0.10962049 0.03915137 0.00061154 0.13311778 0.11667128],,,,,,0.6406936523698095,0.23687280842195446,0.7855705260292775,0.07983449125179003,,,,
5,5,1000,1000.0,6500,,1.1652474403381348,,,,,[0.91245561 0.90846473 0.74845647 0.55784967 0.63843139],[0.46231421 0.44970702 0.33299666 0.81965347 0.7242505 ],[0.23011548 0.23911374 0.41992086 0.22662105 0.32003409],[-0.01462601 -0.01083005 -0.02792072 -0.01481862  0.02180426],,,,,,0.7531315741182942,0.2871610449046195,0.5577843717305122,-0.009278226579362277
5,5,1000,1000.0,6501,,0.9907591342926025,,,,,[1.02680579 0.81458164 0.79991074 0.87084913 0.64768028],[0.51663961 0.59358516 0.50839295 0.9022282  0.61354329],[0.90747367 0.4395755  0.22263769 0.34300013 0.79054945],[0.16386932 0.08403264 0.04528119 0.13078234 0.15843905],,,,,,0.831965516828577,0.5406472883910517,0.6268778406610245,0.11648090687155266
5,5,1000,1000.0,6502,,1.1062302589416504,,,,,[0.67567218 0.66953076 0.72266094 0.61782475 0.84025936],[0.7574926  0.82276878 0.81928986 0.73439027 0.31178415],[1.32166213 0.41393611 1.45166092 0.25411983 0.83257831],[0.37049225 0.105244   0.45476805 0.05355019 0.43271953],,,,,,0.7051895996124193,0.8547914602248398,0.6891451327324812,0.2833548027230063
5,5,1000,10000.0,15500,,5.384647846221924,,,,,[0.73741928 0.52064393 0.68737596 0.5463587  0.86528702],[0.78096624 0.96580557 0.56910133 0.60193855 0.66965052],[0.67136796 0.39121367 0.40620376 0.77722596 0.47737903],[0.12650998 0.08243339 0.09624666 0.12291603 0.12397083],,,,,,0.6714169782197787,0.5446780749985989,0.7174924433157357,0.11041537598749869
5,5,1000,10000.0,15501,,5.545405626296997,,,,,[0.57900575 0.72199826 0.73414718 0.82097255 0.47139175],[0.833439   0.78973016 0.63554128 0.85015762 0.83182207],[0.45107599 0.82808793 0.37437785 0.27180088 0.71822996],[ 0.01988021  0.07477694  0.10083658 -0.04428656  0.15968401],,,,,,0.6655030979362664,0.528714521157889,0.7881380258185,0.062178234424785116
5,5,1000,10000.0,15502,,4.835151433944702,,,,,[0.61319654 0.61110939 0.62236449 0.51805644 0.75526065],[0.93234343 0.77989399 0.65474203 0.87161214 0.6710878 ],[0.21064228 0.58070069 0.62711101 0.4169876  0.40545692],[0.01944749 0.04495487 0.02814613 0.01701368 0.04255915],,,,,,0.6239975029349363,0.44817970360809883,0.7819358778066264,0.030424264442255978
10,2,1000,,10200,0.48636698722839355,,[0.32488447 0.46351337],[0.9718123  0.95875357],[0.0736134  0.16661732],[-2.21200817e-16  1.01439370e-16],,,,,,0.39419892138233437,0.1201153572666471,0.9652829347659255,-5.98807235868803e-17,,,,
10,2,1000,,10201,0.4708261489868164,,[0.34518973 0.34258079],[0.96506579 0.97328123],[0.51328718 0.78342256],[0.34132527 0.38165469],,,,,,0.3438852565200062,0.6483548689466492,0.9691735109402828,0.3614899820562631,,,,
10,2,1000,,10202,0.4684932231903076,,[0.30068759 0.21587207],[0.95587588 0.95198173],[0.07899688 0.1131651 ],[ 1.38390412e-15 -2.61309560e-16],,,,,,0.2582798269056984,0.09608099411042419,0.9539288049653021,5.61297281862087e-16,,,,
10,2,1000,1000.0,11200,,0.6537599563598633,,,,,[0.37460848 0.49912199],[0.8080121  0.88746304],[0.07890713 0.16686821],[-0.05435426 -0.05748056],,,,,,0.43686523407519356,0.12288767033274436,0.8477375692597384,-0.05591741414990638
10,2,1000,1000.0,11201,,0.6148147583007812,,,,,[0.50856349 0.4217967 ],[0.83078052 0.7591363 ],[0.06559619 0.11523077],[ 0.00943067 -0.01922973],,,,,,0.465180093166988,0.0904134788436153,0.7949584074195033,-0.0048995277398511785
10,2,1000,1000.0,11202,,0.6187031269073486,,,,,[0.41419522 0.40510682],[0.91357481 0.89451319],[0.16385058 0.21647421],[0.02023918 0.00742871],,,,,,0.40965101727132724,0.19016239216319858,0.9040439990074337,0.01383394877052818
10,2,1000,10000.0,20200,,2.6882200241088867,,,,,[0.25672398 0.35566556],[0.88872232 0.85615371],[0.12761014 0.15718116],[0.04910743 0.08232821],,,,,,0.3061947722553485,0.14239565015337668,0.8724380132098375,0.0657178188601851
10,2,1000,10000.0,20201,,2.6860580444335938,,,,,[0.54951086 0.3375388 ],[0.35387553 0.90045805],[0.10667797 0.08762531],[0.05554027 0.03544677],,,,,,0.44352483295156453,0.0971516364107372,0.627166787291599,0.04549352294321572
10,2,1000,10000.0,20202,,3.0997471809387207,,,,,[0.32895238 0.27741319],[0.9183851  0.95273185],[0.27758733 0.17459391],[0.06254135 0.02958357],,,,,,0.3031827838388951,0.22609061687977244,0.935558475683911,0.04606246292246771
10,3,1000,,10300,0.5580282211303711,,[0.31181963 0.32287886 0.25967885],[0.93789457 0.96838173 0.98657585],[0.44650929 0.15366848 0.38653289],[0.09771549 0.05342473 0.0694375 ],,,,,,0.2981257793492809,0.3289035530610604,0.964284049094838,0.07352590689759478,,,,
10,3,1000,,10301,0.5003247261047363,,[0.38188963 0.37550066 0.35292972],[0.95923097 0.9662624  0.97318374],[0.25354585 0.18531176 0.26658292],[ 0.01395276 -0.02669973  0.01030086],,,,,,0.3701066719692447,0.23514684184651782,0.9662257030533562,-0.0008153700200317209,,,,
10,3,1000,,10302,0.5322747230529785,,[0.3254963  0.48424612 0.26902093],[0.95690642 0.77195224 0.97420396],[0.17746104 0.17778842 0.17474665],[-1.25148572e-17  5.16581357e-16 -5.28630772e-16],,,,,,0.3595877813623199,0.17666536858789797,0.9010208709717581,-8.18809066377395e-18,,,,
10,3,1000,1000.0,11300,,0.8874943256378174,,,,,[0.49157675 0.54434508 0.35971004],[0.93083423 0.58529076 0.97673749],[0.14665549 0.42173733 0.36591367],[-0.06244049 -0.04508145  0.01460324],,,,,,0.46521062346034164,0.31143549499660406,0.830954159380887,-0.03097289927395452
10,3,1000,1000.0,11301,,0.9156804084777832,,,,,[0.65333465 0.72132043 0.56575162],[0.97031446 0.89488698 0.9878893 ],[0.19139801 0.26240572 0.11277787],[-0.00040182 -0.04056928 -0.03676192],,,,,,0.6468022332023743,0.18886053295824246,0.9510302490918544,-0.02591100658875294
10,3,1000,1000.0,11302,,0.8909368515014648,,,,,[0.61770841 0.46024648 0.33068718],[0.6317267  0.70864893 0.91253032],[0.26091096 0.15432909 0.09879846],[0.01903827 0.00736603 0.02430856],,,,,,0.4695473562518255,0.17134617166237223,0.75096865070606,0.016904288047753444
10,3,1000,10000.0,20300,,3.7660725116729736,,,,,[0.40365924 0.40922178 0.44000698],[0.80152441 0.84387583 0.81656488],[0.19548295 0.20198671 0.18369595],[ 0.01727632 -0.01380623 -0.01105211],,,,,,0.4176293343891015,0.1937218694609758,0.820655041176654,-0.0025273429032617693
10,3,1000,10000.0,20301,,3.7545528411865234,,,,,[0.47671333 0.60507683 0.44118804],[0.83870352 0.7248682  0.87674826],[0.19799911 0.10933076 0.19468767],[0.07052116 0.02678458 0.01775995],,,,,,0.5076593979480508,0.16733918077637525,0.8134399912360196,0.03835522903023734
