Component,Eigenvalue,Proportion_Variance,Cumulative_Variance
PC1,71.21965870220451,0.7486647905223897,0.7486647905223897
PC2,4.962949280823574,0.05217078333999394,0.8008355738623836
PC3,3.107996069354202,0.03267141781648905,0.8335069916788727
PC4,0.8743876174703691,0.009191608530532908,0.8426986002094056
PC5,0.6470056800949937,0.006801357669804742,0.8494999578792103
PC6,0.5245776144133768,0.005514387417239464,0.8550143452964497
PC7,0.4903316767345987,0.005154392322826977,0.8601687376192767
PC8,0.43597111527433646,0.004582951247428128,0.8647516888667048
PC9,0.392822402061728,0.004129369709306713,0.8688810585760115
PC10,0.3750062472507412,0.003942085354782432,0.872823143930794
PC11,0.35875728736347273,0.003771275435556689,0.8765944193663506
PC12,0.3503651417763857,0.0036830567606503544,0.880277476127001
PC13,0.3281008994855327,0.0034490138770622977,0.8837264900040633
PC14,0.3056221119679336,0.0032127156827894327,0.8869392056868528
PC15,0.28480510183026775,0.0029938861795593694,0.8899330918664122
PC16,0.27769143221924714,0.002919106911219301,0.8928521987776316
PC17,0.2675946170861365,0.0028129686605688586,0.8956651674382005
PC18,0.2612034923879405,0.0027457848222780233,0.8984109522604785
PC19,0.25255462658041444,0.002654867490939459,0.901065819751418
PC20,0.24580227476457261,0.0025838864142275005,0.9036497061656454
PC21,0.2351744678984666,0.0024721663506086142,0.9061218725162541
PC22,0.22636348016406002,0.002379544785065073,0.9085014173013192
PC23,0.22339766019929524,0.002348367929922702,0.9108497852312418
PC24,0.22025616946492235,0.002315344414429437,0.9131651296456713
PC25,0.2136075795456138,0.0022454540882201886,0.9154105837338915
PC26,0.20684839539513894,0.002174401189647945,0.9175849849235395
PC27,0.20042655222076436,0.0021068944371231404,0.9196918793606625
PC28,0.19467699768057428,0.002046454818008605,0.9217383341786711
PC29,0.19386339497210245,0.0020379021836320005,0.9237762363623031
PC30,0.19347548467294623,0.0020338244502062673,0.9258100608125094
PC31,0.18758259605030203,0.0019718780956935193,0.9277819389082029
PC32,0.18239264668716237,0.0019173210755732235,0.9296992599837761
PC33,0.17937898400912372,0.0018856412953177039,0.9315849012790938
PC34,0.17359427928139468,0.0018248321755867623,0.9334097334546805
PC35,0.17249543707016324,0.001813281088585228,0.9352230145432657
PC36,0.17061110794926293,0.0017934729219598747,0.9370164874652256
PC37,0.1677546077535297,0.0017634452419676427,0.9387799327071933
PC38,0.16248459060667436,0.001708046545102254,0.9404879792522955
PC39,0.1600350245988944,0.0016822965786533334,0.9421702758309489
PC40,0.1561929620108344,0.0016419086150618312,0.9438121844460108
PC41,0.1543987465096145,0.001623047727536527,0.9454352321735473
PC42,0.15259138106849354,0.0016040486071527567,0.9470392807807001
PC43,0.14983711430646018,0.0015750956103817027,0.9486143763910818
PC44,0.14616217633340053,0.0015364644695152793,0.9501508408605971
PC45,0.1454004336021635,0.0015284569899414425,0.9516792978505385
PC46,0.1441697888722842,0.0015155203879457066,0.9531948182384842
PC47,0.14188900827555123,0.0014915447025970802,0.9546863629410812
PC48,0.13644759047421742,0.0014343442330551743,0.9561207071741364
PC49,0.13501479049608409,0.001419282564478876,0.9575399897386153
PC50,0.13229192214354343,0.0013906596294364789,0.9589306493680518
PC51,0.12906841809626576,0.0013567739856931663,0.960287423353745
PC52,0.12570069186202468,0.0013213722707504237,0.9616087956244954
PC53,0.12290288517904285,0.0012919615800449952,0.9629007572045404
