N,K,config_id,filter_type,rmse_f_mean,rmse_f_median,rmse_h_mean,rmse_h_median,rmse_f_ratio,rmse_h_ratio
20,5,BIF,BIF,5.189009134689198,0.4721804381040266,0.93431200126722,0.855754145200468,10.989462324032157,1.0917995624179526
150,15,BIF,BIF,9.748471784224648,1.137245061695146,2.2735832367552944,1.3602898827388148,8.572006256675976,1.6713961234333743
100,10,BIF,BIF,3.526649636150176,0.8531673751434636,1.2653258660922495,1.1615985311478052,4.1335964535178755,1.0892970610439294
50,15,BIF,BIF,4.675137659866662,1.2182083566077082,6.665405410992942,1.2979874008884171,3.837715965834707,5.135184984407981
50,10,BIF,BIF,3.1021819989068704,0.8423133781016614,1.2728507375041405,1.1873005890102597,3.682930937056135,1.0720543300371776
20,15,BIF,BIF,4.742909469349525,1.406352301756419,1.6216092544934788,1.2845571745811926,3.372490281009971,1.2623877602195295
10,10,BIF,BIF,3.295866514595622,1.0373521247722306,1.3017750512720103,1.17607968948603,3.177191655455749,1.106876568747575
150,10,BIF,BIF,1.895888271006411,0.7222000452745184,1.2576295232907824,1.1489935665554087,2.6251566770336567,1.094548794612537
20,10,BIF,BIF,1.4734568467189717,0.7331280263292976,1.1104520300948817,1.0444380476502657,2.0098220144391834,1.063205263915013
5,5,BIF,BIF,1.030626192003795,0.5931641897641627,0.8602725823149224,0.808510504795338,1.737505752688077,1.0640215275034517
100,15,BIF,BIF,1.9119373748839923,1.1965352659216624,1.4174916317570492,1.359383589357074,1.5978947126236793,1.042745876038902
50,5,BIF,BIF,0.6693769300872155,0.4503434918765271,0.8898224972248674,0.8048884190425949,1.4863697203616788,1.1055227981579119
100,5,BIF,BIF,0.6495569198502424,0.4516881416613868,0.8589969814143064,0.8060859510580838,1.438065027479048,1.0656394399217237
10,5,BIF,BIF,0.6569189746090083,0.5059087644589362,0.8107500875240327,0.8130668880956319,1.298492970983762,0.9971505412340359
150,5,BIF,BIF,0.5414282576032857,0.4372096400473231,0.9207831346256468,0.8174352431241466,1.2383721858115528,1.1264294540403177
5,3,BIF,BIF,0.5291936703409088,0.46058037713912,0.5553525423593322,0.52325306659452,1.1489713774346577,1.0613459868925847
10,3,BIF,BIF,0.4119463649901692,0.3766348828118007,0.5520326281695295,0.5227213477538335,1.093755209062813,1.0560743894268876
20,2,BIF,BIF,0.3568237601248968,0.3284481478103503,0.3655084945972501,0.3345484917250463,1.0863929740621674,1.0925426466954415
150,2,BIF,BIF,0.3292255927753946,0.3039914613471327,0.4263408758880827,0.3012895819950114,1.0830093428165295,1.4150534945982363
100,3,BIF,BIF,0.3663481798331431,0.3422296856179591,0.6248781566537446,0.5443855579523003,1.0704745825062885,1.1478595409551573
150,3,BIF,BIF,0.3481024729517111,0.3292326222972112,0.5785540394605074,0.5377602562666306,1.0573146443473191,1.0758586799944743
100,2,BIF,BIF,0.3350495926172833,0.3172946625750263,0.4549406224313481,0.3822189856948907,1.0559572288363304,1.1902617071840278
50,3,BIF,BIF,0.3610314076477944,0.3422255257656521,0.6066531343266935,0.5553269803707758,1.0549517217924302,1.0924251040740875
20,3,BIF,BIF,0.3630701280846626,0.3497633836719325,0.5566503440246899,0.5441210280358354,1.0380449899387165,1.0230267079257767
10,2,BIF,BIF,0.3558327242439543,0.3495925270652886,0.3928226907880551,0.3707051287956668,1.0178499158178524,1.0596634906677527
50,2,BIF,BIF,0.3147763755200449,0.3114332766518575,0.4017620046359428,0.339339929331292,1.0107345589531351,1.1839514596106053
5,2,BIF,BIF,0.4000559524288873,0.398226461173969,0.3566755377792659,0.3170144259886566,1.0045940976637389,1.125108223914165
