N,K,num_particles,config_id,filter_type,rmse_f_mean,rmse_f_median,rmse_h_mean,rmse_h_median,rmse_f_ratio,rmse_h_ratio
50,10,5000,PF 5000,PF,4018463378271.357,0.9441011647354968,2.0565470527650715,1.6934397166498902,4256390658512.9424,1.2144199953178798
100,5,20000,PF 20000,PF,56136646.65377366,0.2053780680555477,1.1550749418098745,0.9325823592197662,273333210.2364047,1.2385768724772512
50,10,20000,PF 20000,PF,9272199.37365751,0.6430170330787675,1.7890312627953815,1.462661639003738,14419834.77367962,1.2231340558120767
20,15,1000,PF 1000,PF,2184215.278789861,2.296120239588169,2.633657414958316,2.3871298792082083,951263.457867355,1.1032736165289334
10,5,5000,PF 5000,PF,9451.51216745572,0.3330987300493905,1.0462070258836331,0.8512840546981634,28374.506759765456,1.2289752405318843
100,15,1000,PF 1000,PF,19283.078553732565,1.5462440640793744,2.2903513638099486,2.101462281083834,12470.91516901868,1.0898845934216315
50,15,1000,PF 1000,PF,16237.471083106024,1.8383154302291405,2.515109371298935,2.192537361557399,8832.799211766433,1.1471226969251769
10,10,20000,PF 20000,PF,4223.261729919419,0.8923300879482186,1.846831028785427,1.5609970858407594,4732.846944150663,1.1831098504522297
100,10,1000,PF 1000,PF,2367.1790221693004,0.9322360662221596,2.022533858792072,1.6977185701468906,2539.248488596001,1.1913245777932897
150,10,1000,PF 1000,PF,1749.2126554551148,1.0036846705975635,1.9965767655679232,1.7266250744353138,1742.7910445356174,1.1563464443610585
20,15,5000,PF 5000,PF,439.1227748302744,1.9166901378825512,2.449197512602142,2.2200296977787324,229.10472911150467,1.1032273645044952
10,10,1000,PF 1000,PF,234.79440314252287,1.457121079899783,2.3846036950452416,1.9019139094568056,161.13582212308083,1.2537916060176952
5,5,5000,PF 5000,PF,54.64540720517571,0.4842236177199653,0.941906424587344,0.8080267667102634,112.851594192124,1.1656871571496916
50,10,1000,PF 1000,PF,90.60753191984652,1.249981433477692,2.0556661004082586,1.8065603190430968,72.48710220259728,1.1378895455298768
50,10,10000,PF 10000,PF,53.17792905699089,0.7918840925894004,1.838958402793444,1.5864572380479922,67.15367760842769,1.1591603975762588
100,10,20000,PF 20000,PF,43.27643083482307,0.7406143015154658,1.7589382859624418,1.585691487079912,58.43315575498558,1.1092563088684848
10,5,1000,PF 1000,PF,19.47487535162401,0.3938192511364385,1.0481320172658426,0.9407442224238132,49.4513036003843,1.1141519578673005
150,15,1000,PF 1000,PF,61.782275776102935,1.6974711756466432,2.365127260508185,2.2179587361118798,36.39665678126598,1.0663531390373358
150,10,20000,PF 20000,PF,20.69538261845224,0.6455404985479954,1.738914170560408,1.5709444362186251,32.05899965223259,1.1069227723585806
150,15,10000,PF 10000,PF,44.25407495199043,1.4966523227258928,2.247029188781764,2.098331806848948,29.568707628361746,1.0708645703446271
150,10,10000,PF 10000,PF,18.382499571422283,0.8454970035256761,1.7856898327707265,1.649825039314321,21.741649579795396,1.0823510313026112
100,15,20000,PF 20000,PF,20.69083144277586,1.1208927663110675,2.1522332011113074,1.9146781214334925,18.45924254723381,1.1240705040803207
10,10,10000,PF 10000,PF,18.29551119314743,1.1950145642118706,1.8844437881465737,1.7457090575942078,15.30986461676606,1.079471851250837
50,15,5000,PF 5000,PF,27.332526585575124,1.8559897392417344,2.345790570082497,2.195502930816997,14.726658239361734,1.0684524885646927
50,15,20000,PF 20000,PF,19.896547597870114,1.44104404550664,2.2901670799290037,2.1591672898758274,13.807036405243892,1.060671440637057
100,3,5000,PF 5000,PF,1.1423892982591175,0.0924956916776327,0.5919768634676335,0.5416065931243708,12.3507298290237,1.093001582666657
100,15,5000,PF 5000,PF,16.071735617463037,1.3889310628253235,2.2327173699082685,2.101133203790888,11.571298279390755,1.0626253327870765
20,15,10000,PF 10000,PF,17.977188776286322,1.6754981017112556,2.320034903359474,2.135019473009834,10.72945935177454,1.0866574908044353
20,15,20000,PF 20000,PF,15.579743694249323,1.7848764943656867,2.440041410995615,2.1937767976826086,8.728751677457709,1.1122560023303862
150,5,5000,PF 5000,PF,2.138518725624168,0.2613089201179863,1.1092913393299109,1.0096556244457906,8.183871888715407,1.0986828701507123
10,10,5000,PF 5000,PF,7.516704600361002,1.072176842631092,1.8532071255808051,1.679696851368465,7.010694786053407,1.1032985648993625
100,10,5000,PF 5000,PF,6.025339616227252,0.8853749983689851,1.805659622406589,1.6197242543935126,6.8054097160265155,1.1147944580744071
100,10,10000,PF 10000,PF,4.535767402573631,0.7023271547377439,1.6579123767809645,1.554547878583588,6.458197397005578,1.0664916787841594
150,5,10000,PF 10000,PF,1.529461153032754,0.2394889308285964,1.1323983662632633,1.037839266620752,6.386354257547703,1.0911115070355737
5,5,20000,PF 20000,PF,2.6893011557434288,0.4428579249552097,0.8616692814363069,0.7897172185790282,6.072604788579594,1.0911111739297583
20,10,10000,PF 10000,PF,5.071586199991096,0.856619231184967,1.8609851789924596,1.687461920422015,5.920467362115531,1.1028309181205396
50,15,10000,PF 10000,PF,9.311055424644222,1.7068068389869848,2.2394868137564985,2.032642201633413,5.455248486214451,1.1017614472221755
10,5,10000,PF 10000,PF,1.5654619548924529,0.2989268652005032,0.913825920517519,0.8462387771032285,5.236939656937257,1.079867698388449
10,3,20000,PF 20000,PF,1.0968963686344342,0.2117523356480759,0.4797876922346059,0.4376363656673728,5.1800910024314115,1.0963158683190197
20,10,1000,PF 1000,PF,5.425540563302877,1.065352473614337,1.9619660913344144,1.7641982240441592,5.092718792772946,1.1121007064823487
10,5,20000,PF 20000,PF,1.220379611276174,0.2796438485031545,0.7965421124331659,0.7449801050650342,4.364049550199233,1.069212596440586
50,5,10000,PF 10000,PF,0.924199853936802,0.234929831603738,1.076614967377065,0.9806776075891132,3.9339399667883512,1.097827623518195
100,15,10000,PF 10000,PF,5.460783765185337,1.6430851629376462,2.323465698171834,2.1541772867189337,3.323494051532963,1.0785861091826598
