filter_config,N,K,config_T,config_fix_mu,results_steps_mean,results_steps_median,results_steps_std,timing_total_script_duration_s_mean,timing_total_script_duration_s_median,timing_total_script_duration_s_std,accuracy_state_estimation_factor_rmse_mean_mean,accuracy_state_estimation_factor_rmse_mean_median,accuracy_state_estimation_factor_rmse_mean_std,accuracy_state_estimation_factor_correlation_mean_mean,accuracy_state_estimation_factor_correlation_mean_median,accuracy_state_estimation_factor_correlation_mean_std,accuracy_state_estimation_volatility_rmse_mean_mean,accuracy_state_estimation_volatility_rmse_mean_median,accuracy_state_estimation_volatility_rmse_mean_std,accuracy_state_estimation_volatility_correlation_mean_mean,accuracy_state_estimation_volatility_correlation_mean_median,accuracy_state_estimation_volatility_correlation_mean_std,loss_diff_mean,loss_diff_median,loss_diff_std,success_rate
PF-5000,10,3,500,1,209.2,204.0,94.67153743338069,93.82027506828308,115.07999205589294,40.25263938186228,1.3415074805117324,1.0888668450986818,0.6042205260879165,0.7781511901050473,0.7626611939247555,0.07106004652820172,1.880489552461696,1.3142931773873388,1.1062343527842051,0.5338566943831959,0.6598616549523898,0.22244143220491297,42366.4947265625,43077.88671875,28288.277535314064,100.0
PF-5000,10,3,1000,1,344.6,317.0,168.64400374753916,252.42911372184753,239.3900806903839,88.1263915891548,5.726624292519091,1.6184005085324848,9.305619348023788,0.8672759363514494,0.8796105085315382,0.043882416148470924,3.249088898532567,2.7342365382188816,1.9823597970637525,0.6549543509248866,0.7523824210537461,0.2619100034584305,2661208.1314453124,86142.8984375,5849167.744295318,100.0
PF-1000,5,2,1000,1,238.0,202.0,80.9135340965898,34.50062894821167,28.529598474502563,12.640286719067607,3.0077545553756044,1.4705013502325588,4.058764921744789,0.9345817496042368,0.9856010851455219,0.10916666556057707,1.5063912295299278,1.5233230214680442,0.3535859026381507,0.7814384421836922,0.791580296459073,0.06640308619609185,7264266.600878906,208646.87451171875,15691529.544253618,100.0
PF-10000,15,3,1000,0,303.0,269.0,106.44247272588137,649.5283054828644,627.5618319511414,162.86854553311565,1.0966270077130207,1.1138588333869932,0.5809614222599065,0.9465282009803933,0.9631639683261971,0.036228437940477594,2.536759909270896,1.922597758475819,1.2088647535099406,0.6268046215748353,0.755135449125735,0.19898288885466983,-106091.3126953125,-38273.53125,134117.79992647297,100.0
PF-10000,10,3,500,0,259.8,229.0,99.7632196753894,326.9206003665924,285.1069710254669,192.25440206820696,1.633233073675774,1.3188255381241598,1.0241580962044048,0.9146365861635474,0.943305934513936,0.049389506841564526,2.0028256903413584,1.9863055850402176,0.5471673960571531,0.701536929767295,0.7653750973296779,0.16887928413101388,38786.57626953125,3888.2197265625,59642.250496133456,100.0
PF-10000,5,2,1000,0,291.0,271.0,59.78712235925058,529.4271290302277,549.946371793747,115.50926709649626,0.7249816361647714,0.6401808096193393,0.3325930611482109,0.9895650743865219,0.9899307744690826,0.003982517609741449,1.6188505842155396,1.6212471442627372,0.15196405412622832,0.8134990204612536,0.8118751245064404,0.04003049858612956,516.27353515625,545.08935546875,564.2829793091794,100.0
PF-10000,15,5,500,0,215.4,219.0,60.82187106625379,335.01239161491395,334.1686923503876,112.50488581872702,2.0570158379359933,1.8778934330366404,0.6964367828832196,0.7371622958568238,0.794111722105508,0.10621037259226933,2.12476357924261,2.081873496097919,0.1123220381578139,0.6988133352685816,0.700271098961902,0.038579753173012744,68940.9375,24505.2578125,152955.3356289544,100.0
BIF,15,5,500,0,677.2,621.0,126.27628439259685,977.3531000614166,888.4775836467743,213.38323251454847,1.198309103831741,0.8707676831524005,0.5143107688474443,0.8718143960423808,0.8693950101780878,0.043292107254774156,1.3892432012215123,1.3782106968279524,0.042844131959035116,0.7855074768403462,0.77734853492023,0.03268024060593614,-158.18271320477663,-149.6913280688193,47.85880267450746,100.0
PF-5000,10,2,2000,0,220.2,210.0,73.7644901019454,300.36064610481264,300.57286500930786,91.91729751917964,1.822702193271916,1.4790962840154014,0.6701362941881055,0.9523113396289722,0.9736891047653463,0.06601979941551753,2.266728005815144,1.824921686863433,0.8797598835327126,0.730928023408992,0.801989473733864,0.19300872410750386,59672.855078125,48388.984375,89165.87424907195,100.0
PF-1000,5,2,500,0,252.0,261.0,36.65151201974256,28.717781364917755,24.80382537841797,9.489943403587834,2.389228488450653,1.3898168364333505,2.6744042493130498,0.976902974795603,0.9810175837271358,0.01194516589124749,1.4880797902508918,1.5522127919360882,0.3071650493199616,0.7860685956412542,0.7914545080040307,0.08968058770237135,652219.9337158203,333870.1707763672,879041.9033069976,100.0
PF-10000,10,5,1000,0,264.2,234.0,143.5886485764108,649.6749497890472,600.9452776908875,278.2250855418133,1.5124253133673133,1.5906561774395729,0.35778669469957136,0.7790147082039469,0.7829303469509806,0.03841257903642066,1.9649861312145256,1.959725615512387,0.16266258738676956,0.6543988990966427,0.6729220425754614,0.042990842754677745,104952.26640625,88540.4609375,104183.95248483382,100.0
PF-10000,15,3,500,0,264.4,282.0,94.59545443624656,288.2143493652344,269.9287974834442,138.89450828608582,2.4651902639352476,2.3591593197203276,1.258930019670352,0.8473063969643878,0.8358940660531555,0.07910843963532826,2.3393723317331245,2.206464398738334,0.46905671595682047,0.6965251837222237,0.701330211522194,0.07634787182063997,-12054.5083984375,13904.02734375,172101.2632950092,100.0
PF-5000,10,3,2000,0,309.0,277.0,169.92204094819482,357.6074108123779,375.0422873497009,148.41001647495014,2.4744831514965595,2.1722479554333103,1.6390113463077467,0.9127232268020826,0.9105205051166103,0.021144768930782903,1.8330335694204787,1.6560595269558185,0.48951800551968117,0.7775767236707508,0.7978636032289789,0.09488906741579359,401649.12421875,133010.0078125,528014.2660469046,100.0
PF-1000,15,2,2000,0,284.4,243.0,88.7795021387257,81.81484417915344,83.6285183429718,20.435398076034136,2.721006942719496,2.692075689512642,1.5922438936031198,0.942507842479596,0.9607763906563946,0.05585212770478744,2.083111071872539,2.04424815688376,0.21967617261381464,0.8013089652632222,0.8093968729204872,0.03154882093999919,-259955.0265625,143095.8359375,2499393.477237382,100.0
PF-1000,5,2,1000,0,542.6,322.0,461.3906154225506,70.39693546295166,37.695796489715576,53.59636841044983,6.046761959072219,4.070282676999161,7.683626617180425,0.9812426456274711,0.9877421041973916,0.015752518342305583,1.8154758904432586,1.6919354653889014,0.46770358717659793,0.7955956201625991,0.7904292923520659,0.0820346866714244,30230640.01347656,10441.7041015625,67543985.85182206,100.0
BIF,10,3,500,1,208.2,269.0,120.33578021519618,215.20502066612244,277.09133672714233,112.749958924725,1.8603606670092119,1.5946031476955531,0.8898605661625664,0.7557712045544271,0.768713088300799,0.055173857665628885,1.575749268345425,1.5630958963570285,0.08345012347820238,0.8392020503318213,0.8353178056185279,0.04195200619710552,311.1561028203399,-33.13522941121937,486.3647027610252,100.0
PF-5000,10,3,2000,1,437.8,449.0,219.73552284507846,564.1662167549133,509.68472719192505,355.4761794301549,5.939549724097583,2.549732623911492,5.404215020235367,0.8887444248482093,0.8851565974122145,0.04570437619963976,2.183939258232713,2.4291562564935227,0.8089700357431222,0.6755072406222563,0.8349658423395238,0.31711794604940235,29546006.20390625,195919.771484375,63573044.955063105,100.0
BIF,15,5,1000,1,467.0,464.0,36.256033980566606,1284.5050963401795,1254.9543249607086,119.21650981967981,1.151296288116758,1.041656194468769,0.355651028978084,0.8121094268891091,0.811427147303589,0.008158985813237148,1.4821678005925487,1.507079610601901,0.05913331360948221,0.8211620119489809,0.8292744051589658,0.03099481638430238,-148.99918144867098,-148.723711333369,14.464165648278765,100.0
BIF,10,3,500,0,325.0,342.0,89.72736483370053,321.6589262485504,335.4202010631561,84.18758358369729,2.0307163349993083,2.0999514947623994,1.1205605584380625,0.8105204925495129,0.814876536746441,0.01914851276688028,1.5148837862403117,1.510049841641789,0.05980108909910558,0.8420704029977927,0.8553479823856506,0.0415861819822643,-56.57568685484173,-56.80500998213665,17.7254724484561,100.0
PF-1000,10,5,1000,0,190.6,163.0,93.6392011926629,56.317097663879395,57.70035934448242,7.476041930900024,1.7483280345828647,1.5361570964409723,0.626176536990576,0.7093343919603503,0.7613204052903286,0.08744902923895416,2.0707891989223617,1.9870507001108035,0.18093277375673514,0.5545119469995713,0.5988996160413822,0.0883383119498592,-330570.1140625,-348907.109375,43869.90107789205,100.0
PF-1000,15,3,1000,0,241.6,239.0,96.42250774585776,63.23950905799866,57.36373257637024,15.119254221591468,1.8049669768521484,2.09399649349215,0.7064981719549148,0.8886383061095307,0.9023329954948821,0.04087492543986707,2.1693535525139875,2.192242478808655,0.20786628536164928,0.6985082364344164,0.733099855300749,0.1045834152098865,180675.765625,-70.91796875,449908.466896295,100.0
PF-5000,15,5,2000,1,262.2,205.0,93.2829030423046,470.8847001075745,385.56815457344055,174.7865195090133,6.095904069611335,5.502043167647547,1.9748740570946839,0.8174517412998104,0.8373600814093143,0.06620597977453425,3.231733055971774,3.015066924953974,0.8716528359158576,0.4547218283080984,0.45218907189418456,0.20947320833192534,17134659.4,7313753.875,21679100.40659536,100.0
BIF,5,3,2000,0,169.0,179.0,71.38977517824243,635.0561614513397,647.3136925697327,279.0060919671315,3.2852712979680874,2.221494530215139,3.194095524946409,0.7979049875993444,0.801809359859607,0.025548720803472553,1.5843967901403395,1.5830769015345287,0.033341348926667166,0.8432811248784212,0.845548028314497,0.017905643822446728,82.43007363886241,-120.49905056358648,468.3311431886552,100.0
